,biz,brand,model,score,serial,submarket,target,ts_price
21,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,功能-米糊,125247.0
22,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,服务-客服,125247.0
23,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,物流-物流,125247.0
24,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,质量-噪音,125247.0
25,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,质量-声音,125247.0
26,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,质量-挺好,125247.0
27,1111.0,bear/小熊,JBQ-D1355,4.0,bear/小熊-JBQ-D1355,小容量,质量-质量,125247.0
28,1111.0,bear/小熊,JBQ-D1355,4.0,bear/小熊-JBQ-D1355,小容量,适用人群-宝贝,125247.0
29,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,小容量,适用人群-朋友,125247.0
30,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,价格-价格,125247.0
31,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,价格-性价比,125247.0
32,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,功能-米糊,125247.0
33,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,服务-客服,125247.0
34,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,物流-物流,125247.0
35,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,质量-噪音,125247.0
36,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,质量-声音,125247.0
37,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,质量-挺好,125247.0
38,1111.0,bear/小熊,JBQ-D1355,4.0,bear/小熊-JBQ-D1355,手持,质量-质量,125247.0
39,1111.0,bear/小熊,JBQ-D1355,4.0,bear/小熊-JBQ-D1355,手持,适用人群-宝贝,125247.0
40,1111.0,bear/小熊,JBQ-D1355,1.0,bear/小熊-JBQ-D1355,手持,适用人群-朋友,125247.0
41,251.0,bear/小熊,LB-P919,0.0,bear/小熊-LB-P919,婴儿辅食,,472980.0
42,251.0,bear/小熊,LB-P919,0.0,bear/小熊-LB-P919,智能,,472980.0
43,1.0,bear/小熊,LB-P928,0.0,bear/小熊-LB-P928,全自动,,2180.0
44,1.0,bear/小熊,LB-P928,0.0,bear/小熊-LB-P928,婴儿辅食,,2180.0
45,1.0,bear/小熊,LB-P928,0.0,bear/小熊-LB-P928,智能,,2180.0
46,4.0,bosch/博世,MSM2410,0.0,bosch/博世-MSM2410,婴儿辅食,,1176.0
47,4.0,bosch/博世,MSM2410,0.0,bosch/博世-MSM2410,手持,,1176.0
48,2.0,bosch/博世,MSM66020,0.0,bosch/博世-MSM66020,婴儿辅食,,778.0
49,2.0,bosch/博世,MSM66020,0.0,bosch/博世-MSM66020,手持,,778.0
50,1.0,领锐,SY250C,0.0,领锐-SY250C,婴儿辅食,,88.9
51,1.0,领锐,SY250C,0.0,领锐-SY250C,小容量,,88.9
52,11.0,bosch/博世,MSME6110CN,0.0,bosch/博世-MSME6110CN,婴儿辅食,,6389.0
53,11.0,bosch/博世,MSME6110CN,0.0,bosch/博世-MSME6110CN,手持,,6389.0
54,4.0,bosch/博世,MSME7414CN,1.0,bosch/博世-MSME7414CN,手持,价格-价格,3696.0
55,3.0,bosch/博世,MSMM8910CN,0.0,bosch/博世-MSMM8910CN,婴儿辅食,,5847.0
56,3.0,bosch/博世,MSMM8910CN,0.0,bosch/博世-MSMM8910CN,手持,,5847.0
57,2.0,braun/博朗, 4179,0.0,braun/博朗-4179,婴儿辅食,,798.0
58,199.0,bear/小熊,JBQ-D05A1,1.0,bear/小熊-JBQ-D05A1,婴儿辅食,功能-功能,59423.0
59,199.0,bear/小熊,JBQ-D05A1,1.0,bear/小熊-JBQ-D05A1,婴儿辅食,质量-质量,59423.0
60,199.0,bear/小熊,JBQ-D05A1,1.0,bear/小熊-JBQ-D05A1,小容量,功能-功能,59423.0
61,199.0,bear/小熊,JBQ-D05A1,1.0,bear/小熊-JBQ-D05A1,小容量,质量-质量,59423.0
62,199.0,bear/小熊,JBQ-D05A1,1.0,bear/小熊-JBQ-D05A1,手持,功能-功能,59423.0
63,199.0,bear/小熊,JBQ-D05A1,1.0,bear/小熊-JBQ-D05A1,手持,质量-质量,59423.0
64,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,功能-功能,169145.25
65,818.0,bear/小熊,JBQ-D05D2,-1.0,bear/小熊-JBQ-D05D2,婴儿辅食,功能-榨汁,169145.25
66,818.0,bear/小熊,JBQ-D05D2,-1.0,bear/小熊-JBQ-D05D2,婴儿辅食,功能-辅食,169145.25
67,818.0,bear/小熊,JBQ-D05D2,3.0,bear/小熊-JBQ-D05D2,婴儿辅食,服务-包装,169145.25
68,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,服务-好评,169145.25
69,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,服务-客服,169145.25
70,818.0,bear/小熊,JBQ-D05D2,3.0,bear/小熊-JBQ-D05D2,婴儿辅食,服务-态度,169145.25
71,818.0,bear/小熊,JBQ-D05D2,2.0,bear/小熊-JBQ-D05D2,婴儿辅食,服务-服务态度,169145.25
72,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,款式-手感,169145.25
73,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,款式-颜值,169145.25
74,818.0,bear/小熊,JBQ-D05D2,4.0,bear/小熊-JBQ-D05D2,婴儿辅食,物流-物流,169145.25
75,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,质量-声音,169145.25
76,818.0,bear/小熊,JBQ-D05D2,-1.0,bear/小熊-JBQ-D05D2,婴儿辅食,质量-开关,169145.25
77,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,质量-玻璃,169145.25
78,818.0,bear/小熊,JBQ-D05D2,4.0,bear/小熊-JBQ-D05D2,婴儿辅食,质量-质量,169145.25
79,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,婴儿辅食,适用人群-宝贝,169145.25
80,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,功能-功能,169145.25
81,818.0,bear/小熊,JBQ-D05D2,-1.0,bear/小熊-JBQ-D05D2,手持,功能-榨汁,169145.25
82,818.0,bear/小熊,JBQ-D05D2,-1.0,bear/小熊-JBQ-D05D2,手持,功能-辅食,169145.25
83,818.0,bear/小熊,JBQ-D05D2,3.0,bear/小熊-JBQ-D05D2,手持,服务-包装,169145.25
84,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,服务-好评,169145.25
85,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,服务-客服,169145.25
86,818.0,bear/小熊,JBQ-D05D2,3.0,bear/小熊-JBQ-D05D2,手持,服务-态度,169145.25
87,818.0,bear/小熊,JBQ-D05D2,2.0,bear/小熊-JBQ-D05D2,手持,服务-服务态度,169145.25
88,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,款式-手感,169145.25
89,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,款式-颜值,169145.25
90,818.0,bear/小熊,JBQ-D05D2,4.0,bear/小熊-JBQ-D05D2,手持,物流-物流,169145.25
91,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,质量-声音,169145.25
92,818.0,bear/小熊,JBQ-D05D2,-1.0,bear/小熊-JBQ-D05D2,手持,质量-开关,169145.25
93,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,质量-玻璃,169145.25
94,818.0,bear/小熊,JBQ-D05D2,4.0,bear/小熊-JBQ-D05D2,手持,质量-质量,169145.25
95,818.0,bear/小熊,JBQ-D05D2,1.0,bear/小熊-JBQ-D05D2,手持,适用人群-宝贝,169145.25
96,16.0,supor/苏泊尔,JP10DA-1300,0.0,supor/苏泊尔-JP10DA-1300,全自动,,11184.0
97,16.0,supor/苏泊尔,JP10DA-1300,0.0,supor/苏泊尔-JP10DA-1300,婴儿辅食,,11184.0
98,16.0,supor/苏泊尔,JP10DA-1300,0.0,supor/苏泊尔-JP10DA-1300,智能,,11184.0
99,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,价格-价位,948801.19
100,13157.0,joyoung/九阳, JYL-C051,26.0,joyoung/九阳-JYL-C051,全自动,价格-价格,948801.19
101,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,全自动,价格-价钱,948801.19
102,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,全自动,价格-性价比,948801.19
103,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,价格-物超所值,948801.19
104,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,价格-超值,948801.19
105,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,使用场景-家里,948801.19
106,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,功能-功率,948801.19
107,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,功能-功能,948801.19
108,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,功能-很给力,948801.19
109,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,功能-搅拌机,948801.19
110,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,全自动,功能-果汁,948801.19
111,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,功能-果汁机,948801.19
112,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,全自动,功能-榨汁,948801.19
113,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,全自动,功能-榨汁机,948801.19
114,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,功能-苹果汁,948801.19
115,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,功能-蔬菜,948801.19
116,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,功能-豆浆,948801.19
117,13157.0,joyoung/九阳, JYL-C051,0.0,joyoung/九阳-JYL-C051,全自动,功能-转速,948801.19
118,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,功能-速度快,948801.19
119,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,品牌-九阳,948801.19
120,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,品牌-品牌,948801.19
121,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,品牌-商家,948801.19
122,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,品牌-正品,948801.19
123,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,品牌-牌子,948801.19
124,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,品牌-西非,948801.19
125,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,服务-亲们,948801.19
126,13157.0,joyoung/九阳, JYL-C051,6.0,joyoung/九阳-JYL-C051,全自动,服务-包装,948801.19
127,13157.0,joyoung/九阳, JYL-C051,4.0,joyoung/九阳-JYL-C051,全自动,服务-卖家,948801.19
128,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,服务-外包装,948801.19
129,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,服务-好评,948801.19
130,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,服务-实体店,948801.19
131,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,全自动,服务-客服,948801.19
132,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,服务-店家,948801.19
133,13157.0,joyoung/九阳, JYL-C051,11.0,joyoung/九阳-JYL-C051,全自动,服务-态度,948801.19
134,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,全自动,服务-服务态度,948801.19
135,13157.0,joyoung/九阳, JYL-C051,0.0,joyoung/九阳-JYL-C051,全自动,服务-淘宝,948801.19
136,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,全自动,款式-外观,948801.19
137,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,款式-大小,948801.19
138,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,款式-很漂亮,948801.19
139,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,款式-手感,948801.19
140,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,款式-款式,948801.19
141,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,全自动,款式-颜色,948801.19
142,13157.0,joyoung/九阳, JYL-C051,28.0,joyoung/九阳-JYL-C051,全自动,物流-物流,948801.19
143,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,全自动,质量-商品,948801.19
144,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,全自动,质量-噪声,948801.19
145,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,全自动,质量-噪音,948801.19
146,13157.0,joyoung/九阳, JYL-C051,66.0,joyoung/九阳-JYL-C051,全自动,质量-声音,948801.19
147,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,质量-实物,948801.19
148,13157.0,joyoung/九阳, JYL-C051,-1.0,joyoung/九阳-JYL-C051,全自动,质量-开关,948801.19
149,13157.0,joyoung/九阳, JYL-C051,21.0,joyoung/九阳-JYL-C051,全自动,质量-挺好,948801.19
150,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,质量-物美,948801.19
151,13157.0,joyoung/九阳, JYL-C051,54.0,joyoung/九阳-JYL-C051,全自动,质量-质量,948801.19
152,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,适用人群-妈妈,948801.19
153,13157.0,joyoung/九阳, JYL-C051,28.0,joyoung/九阳-JYL-C051,全自动,适用人群-宝贝,948801.19
154,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,全自动,适用人群-朋友,948801.19
155,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,价格-价位,948801.19
156,13157.0,joyoung/九阳, JYL-C051,26.0,joyoung/九阳-JYL-C051,婴儿辅食,价格-价格,948801.19
157,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,婴儿辅食,价格-价钱,948801.19
158,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,婴儿辅食,价格-性价比,948801.19
159,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,价格-物超所值,948801.19
160,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,价格-超值,948801.19
161,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,使用场景-家里,948801.19
162,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-功率,948801.19
163,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-功能,948801.19
164,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-很给力,948801.19
165,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-搅拌机,948801.19
166,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-果汁,948801.19
167,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-果汁机,948801.19
168,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-榨汁,948801.19
169,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-榨汁机,948801.19
170,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-苹果汁,948801.19
171,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-蔬菜,948801.19
172,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-豆浆,948801.19
173,13157.0,joyoung/九阳, JYL-C051,0.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-转速,948801.19
174,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,功能-速度快,948801.19
175,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,品牌-九阳,948801.19
176,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,品牌-品牌,948801.19
177,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,品牌-商家,948801.19
178,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,品牌-正品,948801.19
179,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,品牌-牌子,948801.19
180,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,品牌-西非,948801.19
181,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-亲们,948801.19
182,13157.0,joyoung/九阳, JYL-C051,6.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-包装,948801.19
183,13157.0,joyoung/九阳, JYL-C051,4.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-卖家,948801.19
184,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-外包装,948801.19
185,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-好评,948801.19
186,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-实体店,948801.19
187,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-客服,948801.19
188,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-店家,948801.19
189,13157.0,joyoung/九阳, JYL-C051,11.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-态度,948801.19
190,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-服务态度,948801.19
191,13157.0,joyoung/九阳, JYL-C051,0.0,joyoung/九阳-JYL-C051,婴儿辅食,服务-淘宝,948801.19
192,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,婴儿辅食,款式-外观,948801.19
193,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,款式-大小,948801.19
194,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,款式-很漂亮,948801.19
195,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,款式-手感,948801.19
196,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,款式-款式,948801.19
197,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,婴儿辅食,款式-颜色,948801.19
198,13157.0,joyoung/九阳, JYL-C051,28.0,joyoung/九阳-JYL-C051,婴儿辅食,物流-物流,948801.19
199,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-商品,948801.19
200,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-噪声,948801.19
201,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-噪音,948801.19
202,13157.0,joyoung/九阳, JYL-C051,66.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-声音,948801.19
203,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-实物,948801.19
204,13157.0,joyoung/九阳, JYL-C051,-1.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-开关,948801.19
205,13157.0,joyoung/九阳, JYL-C051,21.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-挺好,948801.19
206,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-物美,948801.19
207,13157.0,joyoung/九阳, JYL-C051,54.0,joyoung/九阳-JYL-C051,婴儿辅食,质量-质量,948801.19
208,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,适用人群-妈妈,948801.19
209,13157.0,joyoung/九阳, JYL-C051,28.0,joyoung/九阳-JYL-C051,婴儿辅食,适用人群-宝贝,948801.19
210,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,婴儿辅食,适用人群-朋友,948801.19
211,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,小容量,价格-价位,948801.19
212,13157.0,joyoung/九阳, JYL-C051,26.0,joyoung/九阳-JYL-C051,小容量,价格-价格,948801.19
213,13157.0,joyoung/九阳, JYL-C051,5.0,joyoung/九阳-JYL-C051,小容量,价格-价钱,948801.19
214,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,小容量,价格-性价比,948801.19
215,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,价格-物超所值,948801.19
216,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,价格-超值,948801.19
217,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,使用场景-家里,948801.19
218,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,功能-功率,948801.19
219,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,小容量,功能-功能,948801.19
220,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,功能-很给力,948801.19
221,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,小容量,功能-搅拌机,948801.19
222,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,小容量,功能-果汁,948801.19
223,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,小容量,功能-果汁机,948801.19
224,13157.0,joyoung/九阳, JYL-C051,7.0,joyoung/九阳-JYL-C051,小容量,功能-榨汁,948801.19
225,13157.0,joyoung/九阳, JYL-C051,3.0,joyoung/九阳-JYL-C051,小容量,功能-榨汁机,948801.19
226,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,功能-苹果汁,948801.19
227,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,功能-蔬菜,948801.19
228,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,功能-豆浆,948801.19
229,13157.0,joyoung/九阳, JYL-C051,0.0,joyoung/九阳-JYL-C051,小容量,功能-转速,948801.19
230,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,功能-速度快,948801.19
231,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,小容量,品牌-九阳,948801.19
232,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,品牌-品牌,948801.19
233,13157.0,joyoung/九阳, JYL-C051,1.0,joyoung/九阳-JYL-C051,小容量,品牌-商家,948801.19
234,13157.0,joyoung/九阳, JYL-C051,2.0,joyoung/九阳-JYL-C051,小容量,品牌-正品,948801.19
