,brand,model,model_target_ratings
10,领锐,SY250C,
11,bosch/博世,MSME6110CN,"{'质量': {'噪音': 47.26, '声音': 54.58, '质量': 40.26}}"
12,bosch/博世,MSME7414CN,{'款式': {'颜色': 46.48}}
13,bosch/博世,MSMM8910CN,{'质量': {'质量': 40.75}}
14,braun/博朗, 4179,
15,bear/小熊,JBQ-D05A1,"{'功能': {'切丝': 5.37, '切肉': 25.16, '功率': 80.09, '打蛋': 39.64, '果汁': 38.86, '榨汁': 30.9, '用途': 34.16, '粉末': 57.83, '绞肉': 84.84, '肉质': 5.08, '肉馅': 60.63, '苹果': 34.02, '虾皮': 10.47, '豆沙': 13.49, '食物': 37.3, '餐桌': 11.96, '饺子': 28.61, '土豆丝': 12.03, '胡萝卜': 29.98}, '服务': {'包装': 86.26, '包裹': 44.98, '口碑': 36.79, '客服': 71.49, '店主': 38.83, '态度': 61.62, '店主人': 31.9, '掌柜的': 6.71, '老客户': 14.52, '说明书': 68.38, '客户服务': 12.36, '服务态度': 81.65}, '款式': {'手感': 43.39, '摆设': 11.71, '档位': 30.0, '外观设计': 34.05}, '质量': {'商品': 68.48, '噪音': 62.86, '声音': 82.08, '实物': 41.94, '性能': 32.56, '挺好': 75.42, '薄厚': 20.44, '质量': 84.39, '不锈钢': 69.98, '实用性': 75.05, '电源线': 37.38, '退换货': 0.0, '颗粒状': 25.49, '马达很': 16.63}}"
16,bear/小熊,JBQ-D05D2,"{'功能': {'便携': 12.54, '功率': 90.84, '南瓜': 62.2, '姜泥': 0.0, '小米': 55.71, '干粉': 5.15, '手法': 10.17, '打蛋': 64.83, '搅碎': 56.65, '效率': 31.39, '木瓜': 7.89, '果汁': 83.28, '果肉': 42.09, '榨汁': 37.1, '橙汁': 60.69, '水果': 49.45, '渣渣': 45.8, '牛肉': 13.33, '猪肉': 0.0, '玉米': 22.88, '用途': 62.68, '碎肉': 33.96, '米粉': 59.86, '米糊': 36.06, '粉末': 31.6, '糖粉': 24.81, '红豆': 18.91, '纤维': 14.0, '绞肉': 91.58, '肉松': 35.08, '肉馅': 77.48, '芒果': 59.53, '芝麻': 23.89, '苹果': 71.27, '蔬菜': 56.99, '虾皮': 12.04, '蛋羹': 0.0, '设备': 17.75, '豆子': 39.75, '豆浆': 28.03, '豆渣': 45.29, '转速': 70.91, '辅食': 77.76, '食材': 32.88, '食物': 39.99, '一体机': 7.27, '养乐多': 11.96, '功能性': 56.18, '午餐肉': 26.32, '土豆泥': 62.7, '很给力': 66.15, '打蛋器': 58.39, '打鸡蛋': 33.55, '接触面': 0.0, '果汁机': 37.88, '榨汁机': 71.29, '沙拉酱': 0.0, '绞肉机': 68.72, '胡萝卜': 48.14, '芒果汁': 32.16, '花生米': 7.13, '苹果汁': 34.49, '苹果泥': 66.44, '蔬果汁': 20.68, '蔬菜泥': 29.98, '西瓜汁': 28.91, '西红柿': 28.15, '速度快': 65.12, '饺子馅': 67.79, '香蕉泥': 52.99, '黑芝麻': 16.72}, '服务': {'买家': 43.14, '亲们': 62.0, '信用': 37.94, '信誉': 33.6, '包装': 94.34, '包裹': 46.27, '卖家': 81.7, '好评': 82.3, '客服': 86.7, '差评': 0.0, '店主': 30.69, '店家': 33.84, '延保': 0.0, '态度': 92.05, '果泥': 74.98, '箱子': 0.0, '外包装': 33.39, '掌柜的': 14.4, '比卡丘': 0.0, '说明书': 76.52, '售后服务': 77.54, '服务到位': 7.47, '服务态度': 93.0, '热情周到': 12.85}, '款式': {'分量': 28.61, '塑料': 71.85, '外形': 74.23, '手感': 81.09, '按键': 32.3, '机身': 28.61, '档位': 66.5, '款式': 34.6, '神器': 72.28, '颜值': 78.12, '颜色': 39.29, '很漂亮': 38.91, '收纳盒': 22.96, '金属感': 0.0}, '质量': {'刀头': 79.48, '刀子': 45.23, '发烫': 6.6, '商品': 88.44, '噪声': 28.95, '噪音': 89.89, '声响': 34.61, '声音': 90.46, '实物': 75.39, '座机': 0.0, '开关': 30.41, '很沉': 41.54, '性能': 78.28, '挺好': 89.8, '插座': 20.44, '机芯': 0.0, '杂音': 51.72, '杯盖': 43.2, '档次': 21.63, '水量': 0.0, '玻璃': 41.29, '用料': 73.36, '盖子': 0.0, '缝隙': 48.91, '肚子': 16.51, '自然': 25.93, '质量': 94.25, '间隙': 6.43, '零件': 38.16, '不锈钢': 42.64, '发热量': 35.72, '塑料味': 0.0, '塑料杯': 41.8, '实用性': 75.57, '使用寿命': 35.79, '响应速度': 0.0}}"
17,万黛,788,
18,careshow,CS-608,
19,jonmor/知你莫我,N8,"{'服务': {'包装': 12.8, '卖家': 12.87, '态度': 13.07}, '款式': {}, '质量': {'做工': 27.34, '质量': 15.37}}"
20,losimei,LSM-M002,"{'质量': {'做工': 27.34, '质量': 12.89}}"
21,冠康雅,BLK-D002,"{'质量': {'质感': 31.53, '质量': 12.89}}"
22,aqua plus,小气泡水,
23,可奈雅,K-002,"{'服务': {'包装': 12.8, '态度': 11.47}, '质量': {'声音': 53.0}}"
24,aderans,PREMIUM,"{'功能': {'眼袋': 60.87, '细纹': 28.87, '黑眼圈': 41.07}, '服务': {'包装': 12.8, '卖家': 12.87, '态度': 13.07}, '款式': {'电流': 31.34, '红色': 47.96, '颜色': 21.31}, '质量': {'做工': 22.9, '功率': 31.87, '重量': 83.01}}"
25,aderans,VEGAS,"{'功能': {'眼袋': 45.4}, '服务': {'说明书': 29.57}}"
26,aifono,新款 大功率,
27,aderans,VEGAS PREMIUM,"{'功能': {'干纹': 0.0, '眼袋': 45.4, '细纹': 33.32, '法令纹': 22.73, '白嫩嫩': 0.0}, '服务': {'包装': 12.8, '卖家': 18.01, '客服': 24.23, '态度': 14.52, '直邮': 0.0, '说明书': 29.57, '有问必答': 37.51}, '款式': {'体积': 45.4, '电流': 40.43, '红色': 47.96, '线条': 28.87, '颜色': 21.31, '美观大方': 0.0}, '质量': {'耐受性': 0.0}}"
28,alkan/奥·诺·康,ADR-02,"{'功能': {'提拉': 29.57, '污垢': 28.52, '螨虫': 0.0, '去黑头': 35.07, '脂肪粒': 30.69}, '服务': {'包装': 24.19, '卖家': 18.01, '态度': 11.47}, '款式': {'机身': 34.48, '档位': 37.51, '颜色': 21.31}, '质量': {'做工': 22.9, '吸力': 28.29, '质量': 16.49}}"
29,alkan/奥·诺·康,DR,"{'功能': {'污垢': 28.52, '粉刺': 31.87, '螨虫': 0.0, '去黑头': 50.13, '脂肪粒': 38.8}, '服务': {'包装': 55.9, '卖家': 32.1, '发货': 0.0, '客服': 31.46, '态度': 34.75, '运费': 0.0, '顺丰': 69.31, '说明书': 29.57}, '款式': {'三档': 47.96, '吸头': 37.51, '大气': 33.8, '档位': 43.86, '结构': 0.0, '三件套': 0.0}, '质量': {'做工': 40.41, '力道': 42.07, '动力': 62.49, '吸力': 66.66, '质感': 22.49, '质量': 35.33, '配件': 57.28, '重量': 69.31}}"
30,aqua plus,PLUS,"{'服务': {'包装': 12.8, '态度': 13.07}, '质量': {'吸力': 13.74}}"
31,aqua plus,四代,
32,aureole/艾芮尔,100,{'质量': {'质量': 12.89}}
33,ayplus,王者飞翔,
34,baby quasar,CLEAR RAYZ,
35,baby quasar,MD BLUE,{'服务': {}}
36,belulu,KRD-1022,
37,baby quasar,MD PLUS,"{'功能': {'痘印': 28.87}, '服务': {'包装': 15.28, '卖家': 15.64, '态度': 13.07}}"
38,baby quasar,MD PLUS 蓝光,{'服务': {'包装': 12.8}}
39,baby quasar,MD PLUS红光,"{'功能': {'上妆': 27.53, '鱼尾纹': 0.0}, '服务': {'包装': 16.39, '卖家': 15.64, '态度': 17.08, '顺丰': 41.07}, '质量': {'做工': 27.34, '光照': 61.77, '质量': 18.52}}"
40,beauco/贝科,点痣祛斑激光笔,"{'功能': {'斑点': 37.51, '脂肪粒': 24.63}, '服务': {'包装': 24.9, '卖家': 25.33, '发货': 0.0, '客服': 20.57, '态度': 23.98, '售后服务': 29.57}, '款式': {'电流': 16.39, '金色': 0.0, '颜色': 27.46}, '质量': {'做工': 31.1, '创伤': 0.0, '功率': 31.87, '设备': 37.51, '质量': 25.7, '配件': 40.43, '针头': 42.07}}"
41,beauty bar/蔚丽吧,黄金按摩棒,{'款式': {'按摩棒': 0.0}}
42,beauty slim/纤美洁,SK-706,"{'功能': {'去黑头': 27.37}, '服务': {'包装': 18.42, '客服': 18.46, '态度': 13.07}, '款式': {'颜色': 21.31}, '质量': {'力道': 50.87, '吸力': 23.04, '质量': 15.37}}"
43,beemyi,205,"{'服务': {'态度': 11.47}, '质量': {'质量': 12.89}}"
44,beemyi,2336,"{'功能': {'去黑头': 30.16}, '服务': {'包装': 12.8, '卖家': 15.64, '客服': 24.23, '态度': 22.24}, '款式': {}, '质量': {'吸力': 23.04, '声音': 51.25, '质感': 31.53, '质量': 23.57}}"
45,beemyi,3339,
46,beemyi,Z-F169,"{'服务': {'态度': 13.07, '说明书': 29.57}, '质量': {'质量': 15.37}}"
47,bellisima,MINI RF-1,"{'功能': {'泛红': 0.0, '祛皱': 25.69, '紧致': 30.31, '细纹': 24.02, '光泽度': 47.96, '法令纹': 22.73, '毛孔粗大': 25.69}, '服务': {'包装': 16.39, '口碑': 0.0, '客服': 22.48, '态度': 15.85, '有问必答': 37.51}, '款式': {'纹路': 42.07, '颜色': 21.31}, '质量': {'质感': 31.53, '质量': 22.81}}"
48,huas/华氏,X55,
49,belulu,KRD-1005,"{'功能': {'紧致': 19.66}, '服务': {'包装': 16.39, '卖家': 15.64, '客服': 22.48, '态度': 14.52, '直邮': 0.0}, '款式': {'颜色': 21.31}, '质量': {'光照': 54.77, '质量': 14.18}}"
50,belulu,KRD-1007B,"{'功能': {'上妆': 27.53, '嫩肤': 0.0, '水嫩': 18.58, '水润': 0.0, '痘印': 28.87, '去黑头': 30.16}, '服务': {'包装': 15.28, '卖家': 20.11, '客服': 22.48, '态度': 19.31, '消息': 0.0, '直邮': 0.0, '说明书': 29.57}, '款式': {'档位': 43.86, '白色': 32.7, '经典': 0.0, '蓝光': 40.43, '金色': 0.0, '颜色': 30.04, '超声波': 33.8}, '质量': {'瑕疵': 58.23, '质量': 11.48}}"
51,belulu,KRD-1007B(S),"{'功能': {'上妆': 27.53, '保湿': 28.87, '变白': 0.0, '嫩肤': 0.0, '晒斑': 0.0, '水嫩': 45.4, '水肿': 47.96, '水雾': 28.87, '污垢': 59.12, '炎症': 0.0, '痘印': 60.87, '粉刺': 25.69, '补水': 32.7, '通透': 47.96, '雾化': 37.51, '去黑头': 31.46, '法令纹': 34.24, '清洁度': 37.51, '白嫩嫩': 0.0, '脂肪粒': 24.63, '效果显著': 0.0, '省时省力': 0.0}, '服务': {'信誉': 37.51, '包装': 43.67, '卖家': 34.43, '口碑': 0.0, '客服': 56.83, '态度': 50.09, '换货': 0.0, '直邮': 0.0, '良心': 0.0, '说明书': 75.13, '售后服务': 16.74}, '款式': {'体积': 45.4, '便携': 21.77, '大气': 33.8, '尺寸': 0.0, '彩光': 0.0, '按键': 45.4, '机身': 40.43, '电流': 31.34, '白色': 69.31, '粉色': 60.34, '红光': 47.96, '红色': 47.96, '红蓝': 0.0, '线条': 28.87, '绿光': 0.0, '蓝光': 76.26, '蓝色': 0.0, '金色': 0.0, '面积': 53.06, '颜色': 49.51, '黄色': 0.0, '黑色': 69.31, '超声波': 77.95}, '质量': {'做工': 34.46, '光照': 69.31, '刺痛': 58.23, '力道': 42.07, '功率': 31.87, '吸力': 13.74, '声音': 49.51, '强度': 45.4, '材质': 23.62, '瑕疵': 58.23, '设备': 37.51, '质感': 53.96, '质量': 27.02, '配件': 51.67, '颗粒': 0.0, '充电器': 0.0, '出水量': 0.0, '塑料味': 0.0, '液晶屏': 0.0, '穿透性': 40.43, '金属头': 0.0, '电池容量': 0.0}}"
52,belulu,KRD-1007G,"{'功能': {'上妆': 27.53, '水嫩': 22.28}, '服务': {'卖家': 15.64, '客服': 20.57}, '款式': {'粉色': 35.3, '红蓝': 0.0}, '质量': {'做工': 22.9}}"
53,kadas/卡丹斯,KDS-2092,
54,belulu,KRD-1008,"{'功能': {'痘印': 33.32}, '服务': {'包装': 18.42, '卖家': 18.01, '客服': 24.23, '态度': 20.34}, '款式': {'体积': 37.51, '便携': 15.08, '红光': 25.69, '蓝光': 20.64, '面积': 69.31}, '质量': {'做工': 31.1, '光照': 54.77, '功率': 37.51, '疗效': 0.0, '质量': 15.37, '提示音': 0.0, '穿透性': 40.43}}"
55,breo/倍轻松,15521111121,{'功能': {}}
56,belulu,KRD-1026,"{'功能': {}, '服务': {'卖家': 15.64, '客服': 18.46, '态度': 11.47}, '款式': {'电流': 28.02}, '质量': {'声音': 53.0, '含水量': 0.0}}"
57,careshow,CS-313,
58,belulu,KRD-1028,"{'功能': {'上妆': 27.53, '水雾': 69.31, '补水': 37.51, '雾化': 53.06, '实用性': 50.87}, '服务': {'包装': 15.28, '卖家': 18.01, '客服': 22.48, '态度': 19.31, '直邮': 0.0}, '款式': {'便携': 46.5, '新品': 0.0, '时尚': 37.51, '蒸汽': 0.0}, '质量': {'做工': 29.28, '声音': 51.25, '质量': 16.49, '重量': 47.96, '颗粒': 0.0, '出水量': 0.0}}"
59,belulu,KRD-1030,"{'功能': {'紧致': 19.66, '腰围': 0.0}, '服务': {'包装': 19.36, '卖家': 15.64, '客服': 18.46, '态度': 17.08, '说明书': 29.57}, '款式': {'白色': 42.07, '粉色': 39.66, '超声波': 33.8, '香槟金': 0.0}, '质量': {'力道': 50.87, '射频': 47.96, '用电': 0.0, '质感': 31.53, '充电器': 0.0}}"
60,belulu,KRD-1031,"{'功能': {'水雾': 28.87}, '服务': {'包装': 12.8}, '质量': {'质感': 22.49}}"
61,belulu,KRD1007B(3S),"{'功能': {}, '质量': {'质感': 31.53}}"
62,belulu,KRD1033(S),"{'功能': {'痘印': 28.87, '细纹': 24.02}, '服务': {'包装': 14.09, '卖家': 15.64, '客服': 20.57, '态度': 15.85, '说明书': 29.57}, '款式': {'电流': 28.02, '颜色': 21.31}, '质量': {'做工': 22.9, '质量': 14.18, '美容器': 0.0}}"
63,belulu,KRD1033G,"{'功能': {'嫩肤': 0.0, '紧致': 19.66, '细纹': 24.02}, '服务': {'包装': 15.28, '卖家': 20.11, '客服': 22.48, '态度': 20.34, '直邮': 0.0}, '款式': {'弧度': 0.0, '彩光': 0.0, '机身': 46.1, '颜色': 21.31}, '质量': {'做工': 29.28, '材质': 29.57, '质量': 12.89, '气色好': 0.0}}"
64,binzim,BZ-0702,"{'功能': {'冰敷': 18.58, '变白': 0.0, '粉刺': 42.82, '紧致': 19.66, '贴合': 0.0, '通透': 47.96, '郊果': 0.0, '去黑头': 70.21, '毛孔粗大': 83.01}, '服务': {'包装': 68.38, '包裹': 37.51, '卖家': 33.29, '客服': 30.16, '态度': 48.24, '说明书': 29.57}, '款式': {'便携': 21.77, '尺寸': 0.0, '时尚': 37.51, '机身': 34.48, '档位': 43.86, '小气泡': 40.43, '方便使用': 0.0}, '质量': {'做工': 43.15, '力道': 50.87, '动力': 62.49, '吸力': 53.67, '声音': 60.25, '质感': 35.56, '质量': 64.69}}"
65,blingbelle,BS-023,"{'服务': {'包装': 12.8, '卖家': 12.87, '态度': 11.47}}"
66,blingbelle,BS-030,"{'功能': {'变白': 0.0, '清洁度': 22.99}, '服务': {'包装': 33.18, '卖家': 25.33, '口碑': 0.0, '客服': 27.37, '态度': 27.1, '售后服务': 16.74}, '款式': {'可调': 0.0, '按键': 28.87, '硅胶': 0.0, '粉色': 60.34, '触感': 0.0, '颜色': 47.77, '风格': 0.0, '粉红色': 47.96}, '质量': {'做工': 27.34, '刷毛': 32.7, '力道': 50.87, '声音': 46.02, '材质': 39.99, '质感': 43.13, '质量': 30.06, '塑料味': 0.0, '震动力': 37.51}}"
67,blingbelle,BS-050,"{'功能': {'斑点': 47.96, '水嫩': 28.87, '痘印': 45.4, '去黑头': 27.37}, '服务': {'包装': 41.55, '包裹': 45.4, '卖家': 37.67, '客服': 20.57, '态度': 40.58}, '款式': {'图案': 0.0, '尺寸': 0.0, '彩光': 0.0, '红光': 43.86, '红蓝': 0.0, '蓝光': 51.67, '面具': 0.0, '颜色': 21.31, '充电式': 0.0}, '质量': {'做工': 37.53, '光照': 33.8, '功率': 31.87, '动力': 43.86, '声音': 53.0, '材质': 49.53, '质感': 22.49, '质量': 41.29, '充电器': 0.0, '数据线': 0.0}}"
68,blingbelle,BS-40,"{'功能': {'污垢': 73.2, '泛红': 0.0, '洁面': 37.51, '粉刺': 31.87, '去黑头': 76.24, '实用性': 50.87, '清洁度': 37.51, '脂肪粒': 63.81}, '服务': {'包装': 68.92, '卖家': 39.71, '客服': 33.91, '态度': 65.48, '语气': 0.0, '顺丰': 25.69, '说明书': 29.57}, '款式': {'三档': 61.77, '体积': 28.87, '吸头': 55.26, '圆头': 0.0, '成分': 0.0, '时尚': 37.51, '档位': 56.14, '白色': 46.5, '结构': 0.0, '三件套': 0.0, '三部曲': 0.0, '小气泡': 51.67}, '质量': {'做工': 52.31, '力道': 32.7, '吸力': 70.92, '声音': 53.0, '开关': 59.73, '气味': 0.0, '淤青': 0.0, '质感': 46.76, '质量': 70.55, '配件': 40.43, '重量': 58.23, '塑料味': 0.0, '最高档': 0.0}}"
69,blingbelle,第2代,"{'款式': {}, '质量': {'使用寿命': 0.0}}"
70,blingbelle,面膜仪,"{'功能': {'变白': 0.0, '痘印': 33.32}, '服务': {'包装': 33.7, '包裹': 37.51, '卖家': 22.0, '客服': 18.46, '态度': 29.87, '快递员': 0.0}, '款式': {'图案': 0.0, '红光': 20.1, '红灯': 0.0, '红色': 25.69, '红蓝': 0.0, '蓝光': 34.48, '蓝色': 0.0, '面具': 0.0, '面积': 45.4, '颜色': 24.6, '方便使用': 0.0}, '质量': {'做工': 27.34, '光照': 25.69, '材质': 34.96, '质感': 35.56, '质量': 31.73, '重量': 58.23, '颗粒': 0.0}}"
71,bosidin/博思迪,D-1121,"{'功能': {'冰敷': 63.59, '水嫩': 18.58, '污垢': 51.48, '泛红': 0.0, '粉刺': 18.58, '贴合': 0.0, '通透': 47.96, '去黑头': 80.0, '实用性': 59.73, '脂肪粒': 36.19, '效果显著': 0.0, '毛孔粗大': 69.31}, '服务': {'包装': 72.43, '包裹': 60.87, '卖家': 58.44, '发货': 0.0, '实话': 0.0, '客服': 53.92, '态度': 70.39, '证件': 0.0, '说明书': 34.96, '售后服务': 39.99}, '款式': {'三档': 47.96, '体积': 45.4, '吸头': 21.77, '图案': 0.0, '时尚': 47.96, '机身': 40.43, '档位': 43.86, '面积': 45.4, '鼻膜': 0.0, '小气泡': 46.1}, '质量': {'做工': 71.79, '力道': 42.07, '功率': 37.51, '动力': 30.69, '变粗': 0.0, '吸力': 72.09, '声音': 60.25, '底座': 69.31, '材质': 44.81, '红红': 0.0, '质感': 50.36, '质量': 84.67, '配件': 34.48, '面料': 0.0, '使用寿命': 0.0}}"
72,careshow,638A/628A/638B/628B,"{'功能': {'紧致': 19.66}, '服务': {'包装': 18.42, '卖家': 15.64, '客服': 20.57, '态度': 15.85}, '质量': {'做工': 29.28, '质量': 26.37}}"
73,careshow,660,"{'服务': {'卖家': 15.64}, '质量': {'质量': 12.89}}"
74,kingdom/金稻,4646564,
75,careshow,BIAI,"{'服务': {'卖家': 15.64, '态度': 11.47}}"
76,careshow,CS-628/CS-638A,"{'功能': {'毒素': 42.07, '光泽度': 37.51}, '服务': {'包装': 17.44, '卖家': 30.87, '客服': 28.8, '态度': 29.21, '售后服务': 29.57}, '款式': {'气泡': 0.0, '颜色': 21.31, '黑色': 42.82}, '质量': {'动力': 30.69, '塑料': 0.0, '质量': 21.21, '穿透性': 40.43}}"
77,careshow,CS-628A,"{'功能': {}, '服务': {'包装': 22.71, '态度': 15.85}, '质量': {'做工': 29.28, '质量': 22.03}}"
78,careshow,CS-628A /CS-638A,"{'功能': {}, '服务': {'包装': 12.8, '卖家': 12.87, '态度': 17.08}, '质量': {'质量': 12.89, '穿透性': 40.43}}"
79,careshow,CS-628C/CS-638C,"{'功能': {}, '服务': {'卖家': 15.64, '客服': 18.46, '态度': 17.08}}"
80,careshow,CS-638,"{'功能': {'毒素': 80.76, '水嫩': 18.58, '污垢': 45.9, '痘印': 28.87, '瘦脸': 42.07, '祛皱': 30.69, '补水': 37.51, '渗透性': 32.7}, '服务': {'包装': 36.63, '卖家': 53.72, '客服': 52.97, '态度': 59.62, '快递员': 0.0, '说明书': 49.53, '售后服务': 34.96}, '款式': {'成分': 0.0, '按键': 45.4, '机身': 28.02, '白色': 32.7, '紫色': 0.0, '颜色': 30.04, '黑色': 47.96, '排毒仪': 0.0}, '质量': {'功率': 25.69, '声音': 47.77, '质感': 31.53, '质量': 41.29, '配件': 28.02}}"
81,careshow,CS-638A,{'质量': {'质量': 12.89}}
82,careshow,CS-638C,"{'服务': {'态度': 11.47}, '质量': {'质量': 11.48}}"
83,careshow,CS-680,"{'功能': {'屏幕': 83.01, '眼袋': 60.87, '细纹': 24.02, '去黑头': 18.46, '黑眼圈': 69.31}, '服务': {'包装': 19.36, '卖家': 15.64, '客服': 20.57, '态度': 17.08}, '款式': {'大气': 33.8, '金色': 0.0, '颜色': 21.31, '产品设计': 0.0, '美观大方': 0.0}, '质量': {'声音': 54.76, '质量': 17.53}}"
84,careshow,CS-698,"{'服务': {'包装': 14.09, '卖家': 18.01, '态度': 11.47}, '质量': {'功率': 31.87, '质量': 11.48}}"
85,careshow,CS-698-B,"{'功能': {'上妆': 15.08, '保湿': 53.06, '变白': 0.0, '微热': 0.0, '斑点': 58.23, '毒素': 21.77, '水嫩': 40.19, '污垢': 28.52, '祛皱': 20.1, '紧致': 19.66, '补水': 32.7, '去黑头': 30.16, '清洁度': 30.69, '渗透性': 32.7, '鱼尾纹': 0.0, '黑眼圈': 33.8, '皮肤干燥': 0.0, '省时省力': 0.0}, '服务': {'包装': 36.15, '包裹': 37.51, '卖家': 28.25, '客服': 38.37, '态度': 42.55, '证件': 0.0}, '款式': {'大气': 33.8, '按键': 45.4, '档位': 43.86, '灰色': 0.0, '颜色': 21.31, '黑色': 37.51}, '质量': {'质感': 39.41, '质量': 40.42, '重量': 58.23, '穿透性': 69.31, '节省时间': 0.0}}"
86,cfcf,CF-D3,"{'功能': {'去黑头': 28.8}, '服务': {'包装': 15.28, '卖家': 15.64, '客服': 18.46, '态度': 11.47}, '质量': {'吸力': 21.51, '质量': 15.37}}"
87,chainer/彩妮,2120,"{'功能': {}, '服务': {'包装': 20.25, '卖家': 15.64, '客服': 27.37, '态度': 17.08}, '款式': {'颜色': 24.6, '高大上': 0.0}, '质量': {'质量': 19.46, '重量': 58.23}}"
88,chainer/彩妮,2130,"{'功能': {'死皮': 0.0, '去黑头': 36.2}, '服务': {'包装': 28.76, '卖家': 22.0, '客服': 24.23, '态度': 25.59, '快递员': 0.0, '说明书': 29.57, '有问必答': 47.96}, '款式': {'白色': 32.7, '紫色': 0.0, '颜色': 24.6}, '质量': {'做工': 37.53, '声音': 54.76, '材质': 34.96, '质感': 31.53, '质量': 23.57, '配件': 34.48, '重量': 58.23, '震动力': 18.58}}"
89,chainer/彩妮,CN-8122,"{'功能': {}, '服务': {'包装': 21.1, '卖家': 12.87, '态度': 15.85, '说明书': 16.74}, '质量': {'做工': 31.1, '质量': 22.03}}"
